data_set, size, decision_tree,naive_bayes,svm
Anneal,898,92.09,79.62,87.19
Australia,690,85.51,76.81,84.78
Auto,205,81.95,58.05,70.73
Breast,699,95.14,95.99,96.42
Cleve,303,76.24,83.50,84.49
Credit,690,85.80,77.54,85.07
Diabetes,768,72.40,75.91,76.82
German,1000,70.90,74.70,74.40
Glass,214,67.29,48.59,59.81
Heart,270,80.00,84.07,83.70
Hepatitis,155,81.94,83.23,87.10
Horse,368,85.33,78.80,82.61
Ionosphere,351,89.17,82.34,88.89
Iris,150,94.67,95.33,96.00
Labor,57,78.95,94.74,92.98
Led7,3200,73.34,73.16,73.56
Lymphography,148,77.03,83.11,86.49
Pima,768,74.35,76.04,76.95
Sonar,208,78.85,69.71,76.92
Tic-tac-toe,958,83.72,70.04,98.33
Vehicle,846,71.04,45.04,74.94
Wine,178,94.38,96.63,98.88
Zoo,101,93.07,93.07,96.04

